Temperature (°C),Text Data,Temperature (°C),Text Data
-0.2681,1.2862,0.07735,n
-0.3571,1. 7264,0.1043,n
-0.3572,1. 7200,0.1039,n
-0.5273,2.5676,0.1564,n
-0.6887,3.3697,0.207,n
-0.6968,3.3988,0.2089,n
