Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Text Data
1,8.295,4.505,0.2756,b
245,8.779,4.768,0.2924,a
245,8.802,4.78,0.2932,b
490,9.366,5.087,0.313,c
