Temperature (°C),Temperature (°C),Temperature (°C),Text Data
-2.1975,0.7,10.5426,n
-3.054,1.0,14.4098,n
-5.302,1.7,22.2521,n
-6.2905,2.0,25.1898,n
-8.1375,2.5,29.6218,""""
-9.8023,3.0,33.5581,n
