Temperature (°C),Temperature (°C),Text Data,Temperature (°C),Text Data
-25.0,39.14,"5,03",2.79,ice
-12.0,30.53,3.44,1.91,ice
-31.0,54.59,9.40,5.22,Cu(CIOsh·4H20
-21.0,57.12,10.41,5.78,""""
0.8,58.51,11.02,6.12,""""
18.0,62.17,12.85,7.13,""""
45.0,66.17,15.29,8.49,""""
59.6,69.42,17.75,9.85,""""
71.0,76.9,26.02,14.45,""""
