Temperature (°C),Temperature (°C),Text Data
94,35.3,II
99,35.8,II
101,35.96,II
112,37.1,II
119,37.79,II
125,38.3,II
142,39.95,II
148,40.45,II
168,42.35,""""
177,43.12,II
193,44.45,II
195,44.72,II
216,46.5,II
219,46.79,II
250,49.55,II
