Text Data,Text Data,Text Data,Empty_Unnamed: 0,Temperature (°C),Text Data,Temperature (°C),Temperature (°C),Temperature (°C)
g/100 g,solvent:,,,182.25,151.76,105.0,79.31,58.05
"bmol """,,:,,35.44,3!l. 66,37.23,35.59,28.8
