Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Text Data
0,35.17,26.02,1.202,NaC1
10,35.36,26.12,1.1994,..
20,35.5,26.2,1.201,..
35,36.16,26.56,1.191,..
50,36.75,26.87,1.19,..
65,37.03,27.02,1.192,II
80,37.42,27.23,1.1926,II
