0 . 65,1 . 74,Column_C,1. 7 1,0.12,30.21,20 . 8 0,Column_H,17 . 22,1 . 46
0 . 65,1 .  74,l. 74,l. 71,0.12,30.21,20 . 76,20 . 81,17 . 19,1 . 46
0.65,1 . 74,,1 . 7 1,0 .12,30.21,20 . 88,,17. 27,1.47
10 . 26,3 . 55,,3 . 43,0.25,30 . 26,21.60,,17.7 6,1 . 52
10 . 26,3 . 54,3 . 55,3.42,0.25,3 0 . 26,21.62,,17 . 78,1 . 52
10 . 36,3 . 58,,3 . 4 6,0 . 25,30 . 26,21 . 56,,17 . 74,1 . 52
10 . 36,3 . 59,,"3 , 46",0.25,30 . 26,21.55,,17.73,1 . 52
10.36,3 . 58,3 . 58,3 . 46,0.25,30 . 26,21 . 56,21.59,17 . 74,1 . 52
10 . 3 6,3.58,,3 . 46,"0 , 25",30 . 26,21 . 61,,17. 7 7,1 . 52
15.11,5 . 23,,4 . 9 7,0 . 3 7,3 0.2 6,21 . 60,,17. 7 6,1 . 52
15 . 11,5 . 22,5.23,4.96,0.3 7,3 0 . 26,21.5 9,,17.7 6,1 . 52
20 . 24,7 . 88,,7 . 30,0 . 55,3 0 . 26,21 . 59,,17 . 76,1 . 52
20 . 24,7 . 90,7.89,7 . 3 2,0.5 6,3 0 .  7 6,23.42,,18.98,1 . 65
20 . 24,7 . 89,,7 . 31,0.56,30 . 76,23.40,23 . 41,18 . 9 6,1 . 65
20 . 24,7 . 8 9,,7.31,0.5 6,30. 76,23 . 41,,18.9 7,l . 65
25 . 15,"12 , 03",,10 . 74,a . as,33 . 04,30 . 88,,23.59,2 . 17
2 5 . 1 5,12 . 01,12 . 02,10.72,0.84,33 . 04,30.88,30.88,23 . 59,2.17
25 . 1 5,12.01,,10 . 7 2,0.84,33.14,31.3 9,,23 . 89,2.21
25 . 40,12 . 32,,10.9 7,0 . 8 7,33 . 14,31 .37,31 . 38,23.88,2 . 21
2 5 . 40,12 . 34,12.32,10.98,0 . 87,3 6 . 27,4 5 . 36,,31 . 20,3 . 19
"25 , 40",12 . 31,,10.9 6,0 . 86,36 . 27,4 5 . 3 5,,3 1 . 20,3 . 19
25.50,12 . 42,,11.05,0.87,36.27,45 .34,,31 . 20,3 . 19
25 . 50,12 . 4 1,12 . 43,11.04,0 . 87,36 . 27,45 . 38,,31.21,3 . 19
25.50,12 . 4 7,,11 . 09,a . as,36.2 7,4 5 . 3 9,4 5.37,31 . 22,3.19
