Temperature (°C),Temperature (°C),Text Data,Text Data
0.05,27.988,21.868,a
5.52,29.851,22.989,b
7.0,30.314,23.262,a
10.5,31.406,23.900,a
10.62,31.454,23.928,b
14.25,32.547,24.555,b
34.42,38.525,27.811,b
59.17,45.264,31.160,a
59.92,45.473,31. 259,b
