Temperature (°C),Temperature (°C),Temperature (°C),Temperature (°C),Text Data
25,35.26,26.07,1.1775,""""
45,41.13,29.14,1.1956,""""
65,46.87,31.91,1.209,""""
90,52.49,34.42,1.2184,""""
